,username,id,reply_id,date,tweet,following,hashtag
51,stefanie_wood,940072491413782529,939616077356642304,2017-12-11 04:15:22,@realDonaldTrump @daveweigel @washingtonpost the fake president needs to get a life. Sad!,0,4.0
52,bighugewildRick,940072044795793414,939616077356642304,2017-12-11 04:13:35,@realDonaldTrump @Stump4TrumpPAC @daveweigel @washingtonpost Lugenpresse,-4,2.0
53,Mattophobia,940071972578328577,939616077356642304,2017-12-11 04:13:18,"@realDonaldTrump @daveweigel @washingtonpost As the president of the USA, why is your ego so fragile that you get s... https://t.co/8Phbdp3s7p",-1,0.0
54,RRNYNJCT,940071916378845185,939616077356642304,2017-12-11 04:13:05,@realDonaldTrump @daveweigel @washingtonpost You apologize for all of your lies you prick,-9,0.0
55,justhafaxjak,940071460017618944,939616077356642304,2017-12-11 04:11:16,@realDonaldTrump @daveweigel @washingtonpost You're worried about size more than any man I've ever heard of in my l... https://t.co/mqNqFUWh18,-1,0.0
56,HaywardBrock,940071254362484736,939616077356642304,2017-12-11 04:10:27,@realDonaldTrump @daveweigel @washingtonpost You mad bro? @realDonaldTrump,0,0.0
57,sheri4c2,940075240159305728,939564681743814661,2017-12-11 04:26:17,@realDonaldTrump @USArmy @USNavy TOO BAD YOU ARE A CHICKEN WITH YOUR FAKE BONE SPURS...TOO SCARED TO GO TO VIET NAM... https://t.co/SFQ8caYfab,-3,0.0
58,Stephy48393925,940073432418357248,939564681743814661,2017-12-11 04:19:06,"@realDonaldTrump @USArmy @USNavy now you support the troops 
make up yo damn mind ",-7,0.0
59,UnrealJacklein,940071335551582209,939564681743814661,2017-12-11 04:10:46,"@realDonaldTrump @USArmy @USNavy RE our military, Our Unelected ""Commander-In-Chief"" dodged the draft, bellyached t... https://t.co/kB4SDNaxGc",-8,0.0
60,twinsfanchris,940066660442021890,939564681743814661,2017-12-11 03:52:12,@realDonaldTrump @USArmy @USNavy Colin Kaepernick Is Recipient of 2017 Sports Illustrated Muhammad Ali Legacy Award... https://t.co/JpybvDFdGH,-7,0.0
61,Don_Vito_08,940065877239644160,939564681743814661,2017-12-11 03:49:05,"@realDonaldTrump @USArmy @USNavy We love you too Mr President
#military https://t.co/LyZkDRGleK",-1,66.0
62,Harold_Laddd_,940063919460122624,939564681743814661,2017-12-11 03:41:18,@realDonaldTrump @USArmy @USNavy  https://t.co/HRQInhjlJZ,-3,0.0
63,indycatfan,940060579917479937,939564681743814661,2017-12-11 03:28:02,@realDonaldTrump @USArmy @USNavy Why weren't you attending? Mara Lago more important?,-3,0.0
64,HuntsberryBeth,940058295238144000,939564681743814661,2017-12-11 03:18:57,"@realDonaldTrump @USArmy @USNavy Most military members, especially officers,  despise you. They just aren't allowed to say it. #Trump",-8,4.0
65,armmoin,940058254494777345,939564681743814661,2017-12-11 03:18:47,@realDonaldTrump @USArmy @USNavy Love make you blind. https://t.co/RqZg15qaTi,-1,3.0
66,leftynest,940055713660878850,939564681743814661,2017-12-11 03:08:42,@realDonaldTrump @USArmy @USNavy you were chicken,-5,0.0
67,jblanke1405,940054923361652737,939564681743814661,2017-12-11 03:05:33,@realDonaldTrump @USArmy @USNavy Gotta make sure you get that 8 hours of tv time in. Who runs the country when you're screwing off?,-5,0.0
68,MarieAnnaDvorak,940054441197105152,939564681743814661,2017-12-11 03:03:38,"@realDonaldTrump @USArmy @USNavy Mr. President, don't you ever stop tweeting. Socialists would lost their target -... https://t.co/oAxv0NFp2V",0,0.0
69,StormH2Owoman,940052799835979777,939564681743814661,2017-12-11 02:57:07,@realDonaldTrump @USArmy @USNavy What's your current golf handicap or are you watching TV all day today? How many Diet Cokes?,-1,0.0
70,maudiefl,940050117398114304,939564681743814661,2017-12-11 02:46:27,@realDonaldTrump @USArmy @USNavy Prayers and love for all our military.,-4,0.0
71,MiguelG87399322,940050019100401665,939564681743814661,2017-12-11 02:46:04,@realDonaldTrump @USArmy @USNavy Be afraid  very afraid,-4,0.0
72,PPitstop66,940042867032047616,939564681743814661,2017-12-11 02:17:39,"@realDonaldTrump @USArmy @USNavy Now there are two words you'll never fully embrace - ""sacrifice and service.""  Vie... https://t.co/5WUKDNwlml",-4,0.0
73,Melmack66,940041816178487297,939564681743814661,2017-12-11 02:13:28,@realDonaldTrump @USArmy @USNavy  https://t.co/DGgQHmCN6i,-1,0.0
74,GorGor71,940041549466935301,939564681743814661,2017-12-11 02:12:25,@realDonaldTrump @USArmy @USNavy Princess Bonespur pls https://t.co/AEfO4KFidP,-4,6.0
75,auryn_ayala,940039492341178368,939564681743814661,2017-12-11 02:04:14,@realDonaldTrump @USArmy @USNavy You do know a big portion of our military doesnt really like you right? Oh wait le... https://t.co/MhbdttX1h5,-6,0.0
76,The_Ben_Reed,940081903532515331,939560154269405184,2017-12-11 04:52:46,@realDonaldTrump Everyone hates u d**khead!,3,0.0
77,CarolATaylor10,940081137254260736,939560154269405184,2017-12-11 04:49:43,@realDonaldTrump  https://t.co/abIBR6WLcU,-1,0.0
78,shershah54,940080765164953603,939560154269405184,2017-12-11 04:48:14,@realDonaldTrump Yes and got a slap on Thur vile face by leading civil rights leaders! You are a disgrace to civil... https://t.co/GQgTFNzN8l,0,0.0
79,donnia8789,940080647959277569,939560154269405184,2017-12-11 04:47:46,@realDonaldTrump  https://t.co/sas3iRfSZ7,-5,5.0
80,chinagurucnxn,940079441404817408,939560154269405184,2017-12-11 04:42:59,@realDonaldTrump Of course a disgrace and disaster having you there. So disrespectful to Medgar Evers' wife.,-5,0.0
81,ChereeFranco,940079074721939456,939560154269405184,2017-12-11 04:41:31,"@realDonaldTrump Yeah well, maybe that was an honor you didn't deserve. https://t.co/C7hyUehFI0",0,1.0
82,LumpkinsWesley,940078495593480193,939560154269405184,2017-12-11 04:39:13,@realDonaldTrump You are such a fucking fake you don't give a damn about the civil rights movement you wasn't wanted there you fucking bigot,-3,-4.0
83,FarewellFred,940078307801890817,939560154269405184,2017-12-11 04:38:29,@realDonaldTrump #thoughtsandprayers,-3,0.0
84,LilPepper5,940077820155281408,939560154269405184,2017-12-11 04:36:32,@realDonaldTrump @dagenais Did you use super-glue this time?,-8,-1.0
85,larrycrabtre,940076648740696065,939560154269405184,2017-12-11 04:31:53,"@realDonaldTrump Funny thing is I heard you say the government would be tied up with investigation of Clinton's for years 

REALLY !",-7,0.0
86,Ahmedshykh786,940076646849134592,939560154269405184,2017-12-11 04:31:53,@realDonaldTrump Right @Banfiike,0,0.0
87,somethingothers,940076521410068480,939560154269405184,2017-12-11 04:31:23,@realDonaldTrump Lol,-5,2.0
88,Harvilon_4G_LTE,940075185641725952,939560154269405184,2017-12-11 04:26:04,@realDonaldTrump hello big boss,-8,0.0
89,slicknikkib0bby,940074939939307520,939560154269405184,2017-12-11 04:25:06,@realDonaldTrump @POTUS  https://t.co/5WjJbMGbZp,-8,0.0
90,Ronisweat,940073620860047360,939560154269405184,2017-12-11 04:19:51,@realDonaldTrump You are an idiot.  Ppl who have not been brainwashed know you are a liar. You don't give two shits... https://t.co/GZB0fre1lz,-6,0.0
91,bsnbrysp8,940073610307178497,939560154269405184,2017-12-11 04:19:49,"@realDonaldTrump It was more believable when you just talked off the cuff, and were the true asshole you are.",-3,0.0
92,MaeWalk90880970,940073111927406592,939560154269405184,2017-12-11 04:17:50,"@realDonaldTrump I'm proud of you,Mr President. I have through a great of presidents and you sir are one of the best. Thank you",-9,0.0
93,richczar,940072516554330114,939560154269405184,2017-12-11 04:15:28,@realDonaldTrump #bigotinchief,-1,0.0
94,savage138156,940071105489813504,939560154269405184,2017-12-11 04:09:51,@realDonaldTrump @PressSec Stop y did you show up you wasn't welcome. You can't change over night. That hate is emb... https://t.co/NWb3kopoTD,-7,0.0
95,msbakerdw,940081727912865793,939521466634326016,2017-12-11 04:52:04,@realDonaldTrump @PhilBryantMS IS THIS REAL OR FAKE? I HOPE ITS REAL BECAUSE I'VE NEVER HEARD HIM EVEN SPEAK ABT GR... https://t.co/RyMxkZaC3D,-1,0.0
96,CarolATaylor10,940081231726747650,939521466634326016,2017-12-11 04:50:06,@realDonaldTrump @PhilBryantMS  https://t.co/imD9Ap3Z48,-1,0.0
97,LynxSavage,940081140118863872,939521466634326016,2017-12-11 04:49:44,@realDonaldTrump @PhilBryantMS Why? So you can piss on em?,-8,-1.0
98,shershah54,940080970748739590,939521466634326016,2017-12-11 04:49:03,@realDonaldTrump @PhilBryantMS Get LOST!,0,0.0
99,MzVeeCee,940075747535814656,939521466634326016,2017-12-11 04:28:18,@realDonaldTrump @PhilBryantMS If only you worked toward Civil Rights instead of defending White Supremacists and R... https://t.co/TplEeU6L4W,-8,0.0
100,hendyhasselbach,940073906500648961,939521466634326016,2017-12-11 04:20:59,@realDonaldTrump @POTUS @PhilBryantMS Why? So you can defund it and erect something more your style? How about anot... https://t.co/j6RrvliNUs,2,0.0
101,StormCilley,940073282438443009,939521466634326016,2017-12-11 04:18:30,@realDonaldTrump @PhilBryantMS To bad you didn't take the time to actually tour it and learn from it.,-3,0.0
102,1MikeMerica,940072872780767233,939521466634326016,2017-12-11 04:16:53,@realDonaldTrump @PhilBryantMS In Mississippi they like em 15,-1,2.0
103,HaroldLang16,940066600522100736,939521466634326016,2017-12-11 03:51:57,@realDonaldTrump @BethanyJuno @PhilBryantMS President Trump open first new Coal Mine in decades and Pennsylvania loves him for this.,-2,0.0
104,gml3897,940066190608568321,939521466634326016,2017-12-11 03:50:20,@realDonaldTrump @PhilBryantMS You belong in the Racist section.,1,0.0
105,CaliGamer,940065951898206208,939521466634326016,2017-12-11 03:49:23,@realDonaldTrump @PhilBryantMS I notice you're staying below the Mason-Dixon Line for all of these events. I wonder why...?,-7,1.0
106,HuntsberryBeth,940059021305790465,939521466634326016,2017-12-11 03:21:50,"@realDonaldTrump @PhilBryantMS You are out of your mind, #Trump. The streets were empty. No one bothered to come ou... https://t.co/TN8jTbXkda",-8,4.0
107,suzannebfeehan,940056012530245632,939521466634326016,2017-12-11 03:09:53,@realDonaldTrump @PhilBryantMS You are not welcome by anybody bit the gov. You're an insult to the protectors of ci... https://t.co/NZEGkf3sY5,-7,0.0
108,CraigDamon12,940054154294071296,939521466634326016,2017-12-11 03:02:30,@realDonaldTrump @PhilBryantMS Most politicians are not respected due to there own faults and you are no exception https://t.co/PflPF2u7Ng,-4,0.0
109,StormH2Owoman,940052886116904966,939521466634326016,2017-12-11 02:57:28,@realDonaldTrump @PhilBryantMS Shameful. Remember your settlement with the DoJ for discrimination?,-1,0.0
110,itskaybee__,940049251639336960,939521466634326016,2017-12-11 02:43:01,@realDonaldTrump @PhilBryantMS We finna vote Phil out don't you worry Donnie,-5,0.0
111,miggy420,940046073082478592,939521466634326016,2017-12-11 02:30:23,@realDonaldTrump @PhilBryantMS Central Park 5!,1,0.0
112,ltsnh1941,940044428697223170,939521466634326016,2017-12-11 02:23:51,@realDonaldTrump @PhilBryantMS You know so little about the United States.  Statistic show that the state is one of... https://t.co/vLSnndjNIl,-9,0.0
113,elanasweaters,940040939757740033,939521466634326016,2017-12-11 02:09:59,@realDonaldTrump @PhilBryantMS Go eat some more McDonald's.,2,1.0
114,JoyceMe36019281,940089411714277376,939485131693322240,2017-12-11 05:22:36,@realDonaldTrump Fox the most untrusted name in news,1,0.0
115,nr1rizk,940089387404029953,939485131693322240,2017-12-11 05:22:30,@realDonaldTrump @realDonaldTrump The least trusted president of the us,-2,0.0
116,nhmartin,940089210786127872,939485131693322240,2017-12-11 05:21:48,@realDonaldTrump #iknowyouarebutwhatami,2,0.0
117,jabra707,940089208118558720,939485131693322240,2017-12-11 05:21:47,@realDonaldTrump Stop tweeting this nonsense and DO YOUR JOB!,0,0.0
118,Hexter1288,940089091604889600,939485131693322240,2017-12-11 05:21:20,@realDonaldTrump Take a look at yourself in the mirror before you call others fake.,-8,0.0
119,favpapa,940088807382171648,939485131693322240,2017-12-11 05:20:12,@realDonaldTrump #FakeNewsTrump. Lock the crook up.,-4,0.0
120,Cameron69419949,940088431346049025,939485131693322240,2017-12-11 05:18:42,"@realDonaldTrump Sorry, that honor belongs to Fox News",0,0.0
121,nrb352,940088076553949184,939485131693322240,2017-12-11 05:17:18,@realDonaldTrump Fag,-7,0.0
122,KimberlyBJones2,940087723829760000,939485131693322240,2017-12-11 05:15:54,"@realDonaldTrump Actually CNN is known amongst most conservative and educated folks as the ""Communist News Network.""",-1,0.0
123,JohnMorrissey26,940087281473355777,939485131693322240,2017-12-11 05:14:08,@realDonaldTrump Blow me c'mon and blow me bend over and show me all your love life could be so neat if you're suck... https://t.co/213U5oSgLA,-3,0.0
124,Lucifer_C_Z_A,940086935216840704,939485131693322240,2017-12-11 05:12:45,@realDonaldTrump And your name should be dipshit. Sucks to have people going around without names that really fit them.,-1,0.0
125,doozy_22,940086754568167424,939485131693322240,2017-12-11 05:12:02,@realDonaldTrump Have you been watching to much @NBCBlacklist ??? Maybe @Red_JamesSpader can help? @AmirArison... https://t.co/zdhDG9zDdP,-6,0.0
126,burf53,940086621919109121,939485131693322240,2017-12-11 05:11:31,@realDonaldTrump And you are the least trusted President ever.  #FakePresident  SOOOOO  FUBAR!,-6,0.0
127,Johnwjgt,940086523638071297,939485131693322240,2017-12-11 05:11:07,"@realDonaldTrump You are a fraud, Dildo Donnie.  A false prophet preying on a weak minded, cowardly flock.  #donthecon",-3,1.0
128,JessicaMalLewis,940086357682089984,939485131693322240,2017-12-11 05:10:28,@realDonaldTrump 32% Donnie boy. Worst approval rating since forever.,-1,0.0
129,Johnwjgt,940086247724236800,939485131693322240,2017-12-11 05:10:02,"@realDonaldTrump You are the number one outlet for fake news, you fucking lying fascist propagandist piece of shit.",-3,1.0
130,mandakliger1,940085756273369088,939485131693322240,2017-12-11 05:08:04,@realDonaldTrump Shouldn't you be doing something besides tweeting all night?,-3,1.0
131,JuliusRaab,940085694461919232,939485131693322240,2017-12-11 05:07:50,"@realDonaldTrump Wtf, is this a tweet for twelve year olds?",-2,0.0
132,KeithBurkhart3,940085693539270656,939485131693322240,2017-12-11 05:07:49,@realDonaldTrump You wouldn't know real news if it bit you in the butt,-9,0.0
133,bdublosangeles,940089283825745920,939480342779580416,2017-12-11 05:22:05,@realDonaldTrump @POTUS @CNN Can we just immediately fire you instead?,-3,0.0
134,1Hedl,940087989698310145,939480342779580416,2017-12-11 05:16:57,"@realDonaldTrump @CNN the only mistake the American people have made, is you, I am so ashamed of our country, being... https://t.co/PNcl4K2WGh",-3,0.0
135,psdaskas,940087863596560389,939480342779580416,2017-12-11 05:16:27,@realDonaldTrump @CNN F U LIAR!!!,-7,-3.0
136,mryder37,940086826206818307,939480342779580416,2017-12-11 05:12:19,@realDonaldTrump @CNN You should be fired for everyone of your mistakes. FOOL,-6,0.0
137,SallyAONeil,940086239423631361,939480342779580416,2017-12-11 05:10:00,@realDonaldTrump @CNN Where is your scolding of Fox News for their Fake news that they had to retract?,-1,0.0
138,jhhb6WQxNPoOiwg,940083948687732738,939480342779580416,2017-12-11 05:00:53,@realDonaldTrump @CNN lqds flsTynyh https://t.co/aNPPsYWxw8,-2,0.0
139,Db123dryb2,940083689756565505,939480342779580416,2017-12-11 04:59:52,@realDonaldTrump @WarriorforKids @CNN Both.,-2,2.0
140,rod_everson,940083677463166976,939480342779580416,2017-12-11 04:59:49,@realDonaldTrump @CNN Desired being satirical if you know what that word means,0,0.0
141,jolleyranchers7,940083305747177474,939480342779580416,2017-12-11 04:58:20,"@realDonaldTrump It's funny how you feel you have a platform to talk about ""gross incompetence"" #adultdaycarecenter... https://t.co/btDozMhsvs",-7,1.0
142,rod_everson,940083086787723264,939480342779580416,2017-12-11 04:57:28,@realDonaldTrump @CNN Watch last week's South Park?  Town Sheriff's speech and his Fox trap was the best satire on... https://t.co/7Lhi38GwUm,0,0.0
143,SueMarvin3,940082583337033728,939480342779580416,2017-12-11 04:55:28,"@realDonaldTrump @CNN see video of tRump saying he ""NEVER APOLOGIZES"", he said this right after the pussy grabbing video showed up.",-8,
144,31073Pink,940082378424303616,939480342779580416,2017-12-11 04:54:39,"@realDonaldTrump @CNN Like you when you were begging your father for money, Jamaica
  Savings Bank had something to... https://t.co/eiXaJIRW59",-7,-1.0
145,CarolATaylor10,940081593929969664,939480342779580416,2017-12-11 04:51:32,"@realDonaldTrump @CNN Lol #FauxNews, InfoWars, Breitbart + The National Enquirer https://t.co/FCLzUyPtSx",-1,0.0
146,Kev777Oly,940080927224377344,939480342779580416,2017-12-11 04:48:53,@realDonaldTrump @keithfowler08 @CNN  https://t.co/wWL5vmapUY,2,0.0
147,OregonCooper,940080892004859905,939480342779580416,2017-12-11 04:48:45,@realDonaldTrump @POTUS @CNN tweeting this from your private account is inappropriate. Retweeting from the @POTUS a... https://t.co/bQ5hdNy27X,-2,0.0
148,pzoped,940079665066131457,939480342779580416,2017-12-11 04:43:52,@realDonaldTrump @CNN Gross Insecurity on the part of TRUMP!,-3,0.0
149,DStephenson2018,940079234692689921,939480342779580416,2017-12-11 04:42:10,@realDonaldTrump @CNN Watch CNN make nothing of being caught red handed they will divert thier ineptitude by pickin... https://t.co/K6CFzFz344,3,0.0
150,TeaPartyLivesOn,940078751613775873,939480342779580416,2017-12-11 04:40:14,@realDonaldTrump @overhead440 @CNN Eliminate their FCC licenses to broadcast. We don't need this CRAP on the airwaves any more.,-9,1.0
151,shershah54,940078677605228544,939480342779580416,2017-12-11 04:39:57,@realDonaldTrump @CNN Your gross INCOMPETENCE cannot be matched! YOU are mooching of the tax payer money and spend... https://t.co/4frD2qusW9,0,0.0
152,CJPitt3,940090787722756096,939477807813595136,2017-12-11 05:28:04,@realDonaldTrump Blame dems for your demise. You deserved to be 47. I feel sorry for it's citizens. Yet you suppose... https://t.co/G0vSHFIwQ6,-5,0.0
153,CJPitt3,940089923800936448,939477807813595136,2017-12-11 05:24:38,@realDonaldTrump Alabama is the 47th State in poverty and poor services. Number 47th. Almost dead last. It has been... https://t.co/X9UpIxs4DZ,-5,0.0
154,cfairyfay,940089106100510725,939477807813595136,2017-12-11 05:21:23,"@realDonaldTrump GOP= Gang of Pedophiles. Has quite the ring, doesn't it?",-8,0.0
155,MEDICJAG,940089083992272896,939477807813595136,2017-12-11 05:21:18,"@realDonaldTrump Time to resign. If the door is too narrow, suck in your gut and walk sideways. Don't ever come back. #loser",-5,0.0
156,TekavecCarol,940088989733629952,939477807813595136,2017-12-11 05:20:55,@realDonaldTrump What is wrong with you? Truly. What is wrong with you?,1,0.0
157,8Abbottt,940087890037452800,939477807813595136,2017-12-11 05:16:33,@realDonaldTrump BS. You're demented. Disgusting.,-3,0.0
158,PrisonPsychRN,940087470028242944,939477807813595136,2017-12-11 05:14:53,"@realDonaldTrump Every person of color, every woman, and every young person should get out, vote, and stomp the shi... https://t.co/ZkU21JCv7C",3,0.0
159,SusanneMavers,940087083275665409,939477807813595136,2017-12-11 05:13:21,@realDonaldTrump  https://t.co/eyDnpp3JNA,-3,0.0
160,summerraine22,940085946111860736,939477807813595136,2017-12-11 05:08:50,@realDonaldTrump You dick,-1,18.0
